#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#myrmidons
society_myrmidons;The Myrmidons;;;;;;;;;;;;;x
society_myrmidons_desc;The reborn protectors of the [From.Religion.GetName] religion, the Myrmidons. A company of faithful warriors dedicated to the protection of the sacred altars of the old gods and the fight against the barbarous infidels besieging them.\nThey swear loyalty to all [From.Religion.GetName] rulers against those who would do them harm. The Megastrategos has pledged to match Achilles' prowesses to preserve their way of life.;;;;;;;;;;;;;x
society_myrmidons_leader_desc;The Grand Master of the Myrmidons.;;;;;;;;;;;;;x
society_myrmidons_rank_1_female;Myrmex;;;;;;;;;;;;;x
society_myrmidons_rank_2_female;Hoplite;;;;;;;;;;;;;x
society_myrmidons_rank_3_female;Lochagos;;;;;;;;;;;;;x
society_myrmidons_rank_4_female;Megastrategissa;;;;;;;;;;;;;x
society_myrmidons_rank_1_male;Myrmex;;;;;;;;;;;;;x
society_myrmidons_rank_2_male;Hoplite;;;;;;;;;;;;;x
society_myrmidons_rank_3_male;Lochagos;;;;;;;;;;;;;x
society_myrmidons_rank_4_male;Megastrategos;;;;;;;;;;;;;x
#dralhas_children
society_dralhas_children;The Children of Drahla;;;;;;;;;;;;;x
society_dralhas_children_desc;Followers of the [From.Religion.GetName] faith have always followed the central tenet of showing respect to all living creatures and to refrain from violence. But even the most peaceful of men must occasionally go to war.\nAs such, a new order had to be formed. They named themselves the Dralha's Chidren, after the great life gods of the mountains, no longer shall they be subjugated.;;;;;;;;;;;;;x
society_dralhas_children_leader_desc;The Grand Master of the Children of Drahla.;;;;;;;;;;;;;x
society_dralhas_children_rank_1_female;Ritualist;;;;;;;;;;;;;x
society_dralhas_children_rank_2_female;Shaman;;;;;;;;;;;;;x
society_dralhas_children_rank_3_female;Exorcist;;;;;;;;;;;;;x
society_dralhas_children_rank_4_female;Mother Superior;;;;;;;;;;;;;x
society_dralhas_children_rank_1_male;Ritualist;;;;;;;;;;;;;x
society_dralhas_children_rank_2_male;Shaman;;;;;;;;;;;;;x
society_dralhas_children_rank_3_male;Exorcist;;;;;;;;;;;;;x
society_dralhas_children_rank_4_male;Grand Master;;;;;;;;;;;;;x
#
chivalry_champion_bloodline_tooltip;You have defeated §Y[Root.chivalry_champion_bloodline_var.GetValue]§! pretenders out of the required §Y10§!.\n- - - - - - -;;;;;;;;;;;;;x
western_champion_bloodline;Champion Blood;;;;;;;;;;;;;x
western_champion_bloodline_desc;Everyone know the exploits of [This.GetTitledFirstNameWithNick]. The undefeated Grand Champion of the Round Table!;;;;;;;;;;;;;x
southern_champion_bloodline;Champion Blood;;;;;;;;;;;;;x
southern_champion_bloodline_desc;Everyone know the exploits of [This.GetTitledFirstNameWithNick]. The undefeated Grand Champion of the Sandpit!;;;;;;;;;;;;;x
northern_champion_bloodline;Champion Blood;;;;;;;;;;;;;x
northern_champion_bloodline_desc;Everyone know the exploits of [This.GetTitledFirstNameWithNick]. The undefeated Grand Champion of the Ring of Honor!;;;;;;;;;;;;;x
eastern_champion_bloodline;Champion Blood;;;;;;;;;;;;;x
eastern_champion_bloodline_desc;Everyone know the exploits of [This.GetTitledFirstNameWithNick]. The undefeated Grand Champion of the Wheel of Life and Death!;;;;;;;;;;;;;x
generic_champion_bloodline;Champion Blood;;;;;;;;;;;;;x
generic_champion_bloodline_desc;Everyone know the exploits of [This.GetTitledFirstNameWithNick]. The undefeated Grand Champion of the Warriors Guild!;;;;;;;;;;;;;x
female_champion_bloodline;Champion Blood;;;;;;;;;;;;;x
female_champion_bloodline_desc;Everyone know the exploits of [This.GetTitledFirstNameWithNick]. The undefeated Grand Champion of the Amazons!;;;;;;;;;;;;;x
risk_champion_bloodline;Champion Blood;;;;;;;;;;;;;x
risk_champion_bloodline_desc;Everyone know the exploits of [This.GetTitledFirstNameWithNick]. The undefeated Grand Champion of the Berserkers!;;;;;;;;;;;;;x
bloodline_effect_chivalry_champion;Can ignore most of the §YFighters' Guilds'§! joining requirements;;;;;;;;;;;;;x
#
chivalry_gym_shape_tt;Perfect Shape: §G+1.0§!;;;;;;;;;;;;;x
bloodthirsty_gods_1_tt;Haemophiliac: §G+1.0§!;Aime le sang: §G+1.0§!;Hämophiler: §G+1.0§!;;Hemofílico: §G+1.0§!;;;;;;;;x;
bloodthirsty_gods_2_tt;Haemophant: §G+2.0§!;Adore le sang: §G+2.0§!;Hämophant: §G+2.0§!;;Hemofante: §G+2.0§!;;;;;;;;x;
bloodthirsty_gods_3_tt;Haemoarch: §G+3.0§!;Ne vit que pour le sang: §G+3.0§!;Hämonarch: §G+3.0§!;;Hemoarca: §G+3.0§!;;;;;;;;x;
chivalry_focus_war_tt;War Focus: §G+2.0§!;;;;;;;;;;;;;x
chivalry_focus_theology_tt;Theology Focus: §G+2.0§!;;;;;;;;;;;;;x
justified_resting_tt;Recovering: §R-5.0§!;;;;;;;;;;;;;x
justified_resting_champ_tt;Recovering Champion: §R-25.0§!;;;;;;;;;;;;;x
unjustified_resting_tt;Resting: §R-10.0§!;;;;;;;;;;;;;x
unjustified_resting_champ_tt;Resting Champion: §R-50.0§!;;;;;;;;;;;;;x
#
chivalry_gym_burning;Burning Fat;;;;;;;;;;;;;x
chivalry_gym_burning_desc;This character is a sweaty mess.;;;;;;;;;;;;;x
chivalry_gym_shape;Perfect Shape;;;;;;;;;;;;;x
chivalry_gym_shape_desc;[From.GetSheHeCap] is training a lot and has a body that prove it.;;;;;;;;;;;;;x
chivalry_head_hit_mod;Bruised Head;;;;;;;;;;;;;x
chivalry_head_hit_mod_desc;This character's head is bruised.;;;;;;;;;;;;;x
chivalry_domhand_hit_mod;Bruised Dominant Hand;;;;;;;;;;;;;x
chivalry_domhand_hit_mod_desc;This character's hand is bruised.;;;;;;;;;;;;;x
chivalry_subhand_hit_mod;Bruised Non-Dominant Hand;;;;;;;;;;;;;x
chivalry_subhand_hit_mod_desc;This character's hand is bruised.;;;;;;;;;;;;;x
chivalry_torso_hit_mod;Bruised Torso;;;;;;;;;;;;;x
chivalry_torso_hit_mod_desc;This character's torso is bruised.;;;;;;;;;;;;;x
chivalry_legs_hit_mod;Bruised Legs;;;;;;;;;;;;;x
chivalry_legs_hit_mod_desc;This character's legs are bruised.;;;;;;;;;;;;;x
chivalry_kicked_nuts;Smashed Nuts;;;;;;;;;;;;;x
chivalry_kicked_nuts_desc;This character received a low blow.;;;;;;;;;;;;;x
chivalry_broken_leg;Broken Leg;;;;;;;;;;;;;x
chivalry_broken_leg_desc;One of this character's legs is broken.;;;;;;;;;;;;;x
chivalry_stabbed_foot;Pierced Foot.;;;;;;;;;;;;;x
chivalry_stabbed_foot_desc;One of this character's foot was pierced.;;;;;;;;;;;;;x
